iter	RMSE
0	8.968136319
1	8.779407009
2	8.595138184
3	8.437716034
4	8.273958362
5	8.111446065
6	7.945275188
7	7.789259419
8	7.647573527
9	7.501489329
10	7.357206482
11	7.21229655
12	7.065101971
13	6.922115745
14	6.810179132
15	6.673351376
16	6.540673361
17	6.418673043
18	6.303198724
19	6.186512912
20	6.077102427
21	5.973204997
22	5.876704893
23	5.783023899
24	5.684760889
25	5.595772256
26	5.512725153
27	5.430265543
28	5.339419832
29	5.247760146
30	5.167618671
31	5.085485731
32	5.016610971
33	4.944688515
34	4.873046699
35	4.802229198
36	4.74049343
37	4.673670012
38	4.611185396
39	4.538938049
40	4.484572445
41	4.425624524
42	4.381222095
43	4.324783054
44	4.27890503
45	4.236910947
46	4.184333894
47	4.138713859
48	4.097050846
49	4.048188813
50	3.999792632
51	3.957821998
52	3.914639146
53	3.871230185
54	3.831323864
55	3.798644761
56	3.764218804
57	3.728113048
58	3.686613271
59	3.642240146
60	3.612366833
61	3.581775994
62	3.53981017
63	3.508445948
64	3.476562381
65	3.445764522
66	3.41472749
67	3.38649022
68	3.3580861
69	3.324535313
70	3.301947726
71	3.276840899
72	3.250096335
73	3.228370156
74	3.200030329
75	3.172793211
76	3.145512944
77	3.124240653
78	3.100896941
79	3.08270171
80	3.063893948
81	3.038605343
82	3.022776179
83	3.00070814
84	2.981706017
85	2.964297601
86	2.942949461
87	2.922843931
88	2.904136928
89	2.8857696
90	2.868507981
91	2.848458354
92	2.83223063
93	2.816545688
94	2.797412509
95	2.784392448
96	2.77095064
97	2.75795845
98	2.744641012
99	2.733204766
100	2.715302886
101	2.700745612
102	2.687139178
103	2.674032209
104	2.663985623
105	2.649145888
106	2.63313517
107	2.619010031
108	2.611809822
109	2.60317774
110	2.593400441
111	2.58036185
112	2.569136781
113	2.55672081
114	2.548672347
115	2.539045771
116	2.524838865
117	2.514664586
118	2.503336635
119	2.493923746
120	2.482469475
121	2.472479217
122	2.465013075
123	2.454078306
124	2.445090382
125	2.436058626
126	2.42559001
127	2.417572409
128	2.406938802
129	2.396686012
130	2.389387669
131	2.381855946
132	2.374981837
133	2.368610926
134	2.35934033
135	2.350146121
136	2.340150651
137	2.332977041
138	2.323856342
139	2.318160682
140	2.309874784
141	2.302341098
142	2.2942945
143	2.284909093
144	2.278430755
145	2.270713083
146	2.262234238
147	2.256698978
148	2.249534801
149	2.244525505
150	2.237545573
151	2.231959381
152	2.225834791
153	2.218971154
154	2.211380936
155	2.204570415
156	2.19555227
157	2.188747408
158	2.181196414
159	2.174217036
160	2.16644719
161	2.158212785
162	2.152669102
163	2.1459911
164	2.138823955
165	2.133120188
166	2.125334554
167	2.115929056
168	2.111725238
169	2.105935361
170	2.100037444
171	2.092564122
172	2.085318071
173	2.079009775
174	2.072625554
175	2.069809431
176	2.064707942
177	2.056797915
178	2.051198569
179	2.046815809
180	2.039988109
181	2.033656329
182	2.028650149
183	2.02405887
184	2.018625425
185	2.013869343
186	2.007139892
187	2.00267263
188	1.997522382
189	1.991905589
190	1.986205626
191	1.980116473
192	1.976809139
193	1.971601994
194	1.967326778
195	1.961695679
196	1.956467176
197	1.951532172
198	1.94581701
199	1.940517984
200	1.936776074
201	1.932025037
202	1.926241544
203	1.919653053
204	1.915671282
205	1.911196193
206	1.906797077
207	1.901482913
208	1.897025799
209	1.892437091
210	1.887963688
211	1.883703586
212	1.877767357
213	1.873469935
214	1.86950234
215	1.865199989
216	1.861773815
217	1.85715159
218	1.853432266
219	1.849068524
220	1.843895631
221	1.838516898
222	1.833962197
223	1.829732509
224	1.826087344
225	1.821868186
226	1.818160206
227	1.812261292
228	1.808724578
229	1.804187214
230	1.800131447
231	1.795865606
232	1.792040831
233	1.788831098
234	1.783619877
235	1.779004067
236	1.776280309
237	1.770747114
238	1.766620462
239	1.763029712
240	1.757886428
241	1.753903481
242	1.7496559
243	1.747226072
244	1.744039875
245	1.740031446
246	1.735754341
247	1.730756653
248	1.727622736
249	1.723571722
250	1.719222927
251	1.714630948
252	1.710161809
253	1.706880917
254	1.70271113
255	1.697850015
256	1.69319268
257	1.690693839
258	1.686417825
259	1.682977837
260	1.679679651
261	1.675346139
262	1.670910564
263	1.667151761
264	1.665170937
265	1.660606996
266	1.657047515
267	1.653010234
268	1.648318982
269	1.64623103
270	1.640743324
271	1.63620728
272	1.63163103
273	1.628259347
274	1.625344222
275	1.621846269
276	1.617181098
277	1.612309557
278	1.608658526
279	1.604109996
280	1.601777969
281	1.597366689
282	1.59380032
283	1.589603833
284	1.587030863
285	1.584552811
286	1.58196294
287	1.577873362
288	1.57582637
289	1.57222666
290	1.568183289
291	1.564306308
292	1.560608072
293	1.55753899
294	1.553271992
295	1.550462332
296	1.546891642
297	1.544202435
298	1.541941546
299	1.540163271
300	1.536911555
301	1.535071944
302	1.531346566
303	1.527880354
304	1.525923332
305	1.522637
306	1.519099198
307	1.517243117
308	1.513192558
309	1.509515475
310	1.507388999
311	1.505262499
312	1.502749283
313	1.499445348
314	1.495181054
315	1.492173467
316	1.489149073
317	1.485236461
318	1.483451185
319	1.479236524
320	1.476684243
321	1.473519105
322	1.470822396
323	1.467147388
324	1.463585939
325	1.461314167
326	1.459298816
327	1.45565721
328	1.452599737
329	1.449299647
330	1.445770217
331	1.442083148
332	1.438886574
333	1.437432731
334	1.434681199
335	1.432502041
336	1.428768919
337	1.425630327
338	1.42317838
339	1.419697563
340	1.416690025
341	1.41523396
342	1.412171781
343	1.408807531
344	1.40713171
345	1.403959193
346	1.400726685
347	1.399367505
348	1.396976383
349	1.393434185
350	1.390990381
351	1.388063237
352	1.385382386
353	1.38248721
354	1.379379399
355	1.37671753
356	1.375273566
357	1.372818461
358	1.370198569
359	1.365797007
360	1.363799095
361	1.360789363
362	1.358110131
363	1.355270637
364	1.352491338
365	1.350313424
366	1.346924849
367	1.343818812
368	1.341304673
369	1.339012449
370	1.336219177
371	1.333729785
372	1.32966899
373	1.327245681
374	1.324574563
375	1.3223159
376	1.319491005
377	1.317152454
378	1.314283792
379	1.31289798
380	1.312446185
381	1.309881973
382	1.307175352
383	1.305430067
384	1.302665201
385	1.301631404
386	1.298795122
387	1.295943443
388	1.2952453
389	1.293231026
390	1.292290349
391	1.289101335
392	1.286805905
393	1.285728874
394	1.284252317
395	1.281451735
396	1.280288215
397	1.2787769
398	1.275447661
399	1.273458351
400	1.27069943
401	1.267392085
402	1.264802286
403	1.26249691
404	1.259950914
405	1.258390667
406	1.256023846
407	1.254690573
408	1.252717332
409	1.252163663
410	1.249735247
411	1.24641301
412	1.244490759
413	1.243273799
414	1.24103862
415	1.2386686
416	1.236104164
417	1.23504654
418	1.233988151
419	1.231339518
420	1.227912781
421	1.225423925
422	1.223581506
423	1.221280924
424	1.218693351
425	1.215640857
426	1.212589497
427	1.210214158
428	1.207832946
429	1.207153576
430	1.206694965
431	1.205215595
432	1.202384536
433	1.2007114
434	1.198438662
435	1.197239597
436	1.194082142
437	1.19334858
438	1.18988575
439	1.187922103
440	1.186385095
441	1.184754259
442	1.181812245
443	1.179513283
444	1.176868986
445	1.176182451
446	1.17460126
447	1.173936278
448	1.172297025
449	1.170674554
450	1.168128856
451	1.165961788
452	1.163635003
453	1.161645367
454	1.159007665
455	1.15618906
456	1.154304686
457	1.152053836
458	1.149205834
459	1.146901871
460	1.144905494
461	1.143029511
462	1.140741141
463	1.138404414
464	1.13653668
465	1.13363732
466	1.13154591
467	1.12992029
468	1.129290031
469	1.128272209
470	1.125647121
471	1.124522504
472	1.122945888
473	1.120789803
474	1.118685522
475	1.117200931
476	1.116247617
477	1.113349236
478	1.112542294
479	1.110741853
480	1.108715788
481	1.107925504
482	1.106223787
483	1.105163764
484	1.103697952
485	1.101909621
486	1.099733015
487	1.097684738
488	1.095617886
489	1.095081529
490	1.093384358
491	1.091671217
492	1.090456081
493	1.088419952
494	1.085364237
495	1.083470363
496	1.081912322
497	1.080493521
498	1.078185669
499	1.076207038
500	1.074551746
501	1.073048298
502	1.071472099
503	1.06997522
504	1.068458077
505	1.065933944
506	1.064189564
507	1.062963799
508	1.061768839
509	1.06011035
510	1.057633041
511	1.056435861
512	1.054521581
513	1.052928388
514	1.051264751
515	1.049378873
516	1.048094874
517	1.046380357
518	1.044444667
519	1.043354595
520	1.04089801
521	1.039238799
522	1.038969405
523	1.036888017
524	1.034679566
525	1.033703117
526	1.032586199
527	1.030735411
528	1.02909089
529	1.026635099
530	1.025187596
531	1.023576443
532	1.021860174
533	1.01932503
534	1.017711526
535	1.01609875
536	1.014266719
537	1.012536468
538	1.010386766
539	1.008919622
540	1.007619493
541	1.005825997
542	1.004168394
543	1.001900377
544	0.9997308392
545	0.997564607
546	0.9955127589
547	0.994059896
548	0.9928353076
549	0.991801038
550	0.9899839931
551	0.98845846
552	0.9869821187
553	0.9860988304
554	0.9851674408
555	0.9835334882
556	0.9831033035
557	0.9808963317
558	0.9784586444
559	0.9777224611
560	0.9770859451
561	0.9750744818
562	0.9732301398
563	0.9725310167
564	0.9704293697
565	0.968634767
566	0.9681515367
567	0.9666412648
568	0.9656172212
569	0.963240906
570	0.9611492419
571	0.9590431449
572	0.9568283469
573	0.9553386536
574	0.9536410352
575	0.9520787854
576	0.9504211485
577	0.9487741513
578	0.9474346685
579	0.9462027799
580	0.9450602876
581	0.9437906566
582	0.9421338609
583	0.9398719783
584	0.9385289214
585	0.9367301933
586	0.9351148534
587	0.9334830831
588	0.9321341783
589	0.9306038777
590	0.9283494442
591	0.9263700907
592	0.9246300402
593	0.9233495925
594	0.921535927
595	0.9199363976
596	0.9186955167
597	0.916796585
598	0.9156507905
599	0.9146010582
600	0.9132054239
601	0.9115088505
602	0.9096735227
603	0.9084768962
604	0.9072592326
605	0.9061687132
606	0.9038655954
607	0.9025887338
608	0.9018316894
609	0.9005780624
610	0.898645006
611	0.8973948477
612	0.8957189501
613	0.8952312573
614	0.8950890006
615	0.8936386318
616	0.8923447573
617	0.8921926182
618	0.8903529113
619	0.8896223529
620	0.8890953503
621	0.8874623262
622	0.8863960958
623	0.8848478621
624	0.8830251325
625	0.8817043127
626	0.8813646212
627	0.8800770983
628	0.8783497507
629	0.8766649182
630	0.8753655275
631	0.8743570546
632	0.8724818126
633	0.8709691711
634	0.869525251
635	0.8685127608
636	0.867070471
637	0.866522124
638	0.8657479488
639	0.863407788
640	0.8627535838
641	0.8618491686
642	0.8608795451
643	0.8596036646
644	0.8584910149
645	0.8573767228
646	0.8559744296
647	0.8556864244
648	0.8546410753
649	0.854418967
650	0.8527371565
651	0.8512094476
652	0.8505815535
653	0.8489277081
654	0.8482324981
655	0.8479055854
656	0.8466033475
657	0.8455901794
658	0.844393692
659	0.8428960669
660	0.8413043041
661	0.8398371496
662	0.8384351395
663	0.8368389303
664	0.8359135973
665	0.8343153458
666	0.8327746525
667	0.8311873088
668	0.8295745935
669	0.8281261745
670	0.8273346321
671	0.8266110652
672	0.8258266754
673	0.8243743976
674	0.823711522
675	0.8224434512
676	0.8213849128
677	0.8200210357
678	0.8185765998
679	0.8184141218
680	0.8173280031
681	0.8160230675
682	0.815193707
683	0.8135147876
684	0.8119415592
685	0.8111774571
686	0.8100556001
687	0.8077655709
688	0.8066886887
689	0.805227847
690	0.803991177
691	0.8030643207
692	0.8018780697
693	0.8001375659
694	0.798877112
695	0.797622016
696	0.7964577189
697	0.7945433158
698	0.792743966
699	0.7915097332
700	0.7902399834
701	0.7884077831
702	0.7875165285
703	0.7867138403
704	0.7851079956
705	0.7849325298
706	0.7837618711
707	0.7826857069
708	0.7826172485
709	0.781265705
710	0.7799813886
711	0.778797776
712	0.7780029371
713	0.777719011
714	0.7770302182
715	0.7754103589
716	0.7745867099
717	0.7734871669
718	0.7724766053
719	0.7713864478
720	0.7705354442
721	0.7691407501
722	0.7675888479
723	0.7668588674
724	0.7654826794
725	0.7641410629
726	0.7632378458
727	0.7622929804
728	0.7614733581
729	0.7602731785
730	0.7591189407
731	0.7581431915
732	0.7567852776
733	0.7550665276
734	0.7543388862
735	0.7538244159
736	0.7524932255
737	0.7512987933
738	0.7504704795
739	0.7491756833
740	0.7491071024
741	0.7476159619
742	0.7468012535
743	0.74624292
744	0.7459720795
745	0.7451773876
746	0.7440551945
747	0.7433532144
748	0.7424870593
749	0.7414757385
750	0.7405336845
751	0.7395228339
752	0.7380420007
753	0.7371636809
754	0.7364513481
755	0.7362592274
756	0.7351865027
757	0.7342858386
758	0.7332742048
759	0.7323405696
760	0.7315650033
761	0.7309716052
762	0.7300889825
763	0.7292262444
764	0.7280734196
765	0.7266445904
766	0.7257662209
767	0.7248329996
768	0.7235242801
769	0.7224197665
770	0.721135803
771	0.7207532924
772	0.7196476276
773	0.7190646785
774	0.7174009131
775	0.7165923134
776	0.7157253083
777	0.7143858126
778	0.713917323
779	0.7133552068
780	0.7126201657
781	0.7118904708
782	0.7110837823
783	0.7100103148
784	0.7089073744
785	0.7071819723
786	0.7064265845
787	0.7051011524
788	0.7033339888
789	0.7026774634
790	0.7018090618
791	0.7012082602
792	0.7001357798
793	0.6992493137
794	0.6982287417
795	0.6970367235
796	0.6960476932
797	0.6947856371
798	0.694477369
799	0.6926079494
800	0.6917863458
801	0.6911196972
802	0.6906276761
803	0.6898939235
804	0.689405267
805	0.6881647582
806	0.6877963007
807	0.6869184904
808	0.6864796283
809	0.6853832499
810	0.6843474528
811	0.6833592423
812	0.6821025492
813	0.6808608824
814	0.6799788232
815	0.6793349754
816	0.6788534108
817	0.6777655153
818	0.6766816654
819	0.6756951586
820	0.6755517671
821	0.6750371714
822	0.673756992
823	0.6726435997
824	0.6725083126
825	0.6716864056
826	0.6710749164
827	0.6704252757
828	0.6690101183
829	0.6682069859
830	0.6677943861
831	0.6665532361
832	0.6650936737
833	0.6635469805
834	0.662999622
835	0.6620093482
836	0.6605928078
837	0.659642603
838	0.658362327
839	0.6571964744
840	0.6563396651
841	0.6548806127
842	0.6539294542
843	0.6532248411
844	0.6522492382
845	0.651401324
846	0.6511335129
847	0.6499180223
848	0.6491352395
849	0.6481820231
850	0.6479775626
851	0.6465544054
852	0.6460184189
853	0.6449427921
854	0.6443273958
855	0.6434978664
856	0.6428832479
857	0.6417333924
858	0.6404082794
859	0.63905066
860	0.6378017456
861	0.6374870798
862	0.6372544481
863	0.636889372
864	0.6362042241
865	0.6352884971
866	0.6346561339
867	0.6335667231
868	0.6324120629
869	0.6312617612
870	0.630388516
871	0.6293791682
872	0.6279570726
873	0.6273884449
874	0.6266442957
875	0.6262146861
876	0.6249668834
877	0.6243840505
878	0.6235066236
879	0.623243351
880	0.6224895528
881	0.6217752878
882	0.6213496047
883	0.6202241207
884	0.6198050013
885	0.6191537625
886	0.6187819037
887	0.617532599
888	0.6170211967
889	0.6157718669
890	0.6153861313
891	0.6151332589
892	0.6146986886
893	0.6137818785
894	0.6131218841
895	0.6121485693
896	0.6115216583
897	0.6111649948
898	0.6107690751
899	0.610160752
900	0.6095275942
901	0.6086375005
902	0.6076758354
903	0.6073066513
904	0.6062809647
905	0.604852678
906	0.603594566
907	0.6025632722
908	0.6019444086
909	0.6011127413
910	0.6001252251
911	0.5999115929
912	0.5996603215
913	0.5990906691
914	0.5984221083
915	0.5975090963
916	0.5963924582
917	0.5955627736
918	0.5947292181
919	0.5938035495
920	0.5932193633
921	0.592429146
922	0.5913749886
923	0.5900601955
924	0.5894794698
925	0.5887745549
926	0.5883273709
927	0.5879548
928	0.5870195412
929	0.586135113
930	0.5849705662
931	0.5844860161
932	0.5835088905
933	0.5825100027
934	0.5818161576
935	0.5816362603
936	0.5811956397
937	0.5806204963
938	0.5798137935
939	0.5789886542
940	0.578684011
941	0.5781849751
942	0.5774871054
943	0.5768110304
944	0.5757883578
945	0.5750069432
946	0.5743751348
947	0.5739090597
948	0.5724076218
949	0.57138317
950	0.5701685825
