iter	Passed	Remaining
0	7	7368
1	8	4486
2	10	3525
3	12	3117
4	14	2807
5	15	2617
6	17	2447
7	18	2331
8	21	2318
9	22	2248
10	24	2171
11	25	2105
12	26	2046
13	28	1996
14	29	1955
15	31	1920
16	33	1917
17	35	1927
18	36	1895
19	38	1869
20	39	1844
21	41	1825
22	42	1803
23	43	1784
24	45	1766
25	47	1764
26	49	1770
27	50	1755
28	51	1738
29	53	1727
30	54	1718
31	56	1705
32	57	1696
33	59	1702
34	62	1715
35	64	1714
36	65	1707
37	67	1698
38	68	1693
39	70	1686
40	72	1694
41	74	1694
42	75	1677
43	77	1675
44	78	1668
45	80	1663
46	81	1656
47	83	1651
48	85	1658
49	87	1662
50	89	1671
51	91	1671
52	93	1666
53	94	1660
54	96	1656
55	97	1650
56	99	1651
57	101	1648
58	103	1653
59	105	1651
60	107	1647
61	108	1641
62	110	1638
63	111	1634
64	113	1631
65	115	1632
66	117	1635
67	119	1635
68	120	1630
69	122	1625
70	124	1622
71	125	1621
72	127	1619
73	129	1615
74	130	1611
75	132	1615
76	134	1612
77	136	1608
78	137	1603
79	139	1604
80	141	1603
81	142	1599
82	144	1596
83	146	1598
84	148	1598
85	150	1594
86	151	1592
87	153	1591
88	155	1587
89	156	1583
90	158	1581
91	159	1578
92	162	1584
93	164	1583
94	166	1581
95	167	1580
96	169	1578
97	171	1575
98	172	1572
99	174	1569
100	176	1570
101	178	1567
102	179	1565
103	181	1564
104	183	1563
105	184	1560
106	186	1557
107	188	1553
108	189	1552
109	191	1550
110	193	1547
111	195	1549
112	197	1547
113	198	1544
114	200	1541
115	201	1539
116	203	1536
117	205	1535
118	206	1531
119	208	1528
120	209	1525
121	211	1520
122	212	1516
123	213	1511
124	215	1507
125	216	1503
126	217	1498
127	219	1494
128	221	1493
129	222	1490
130	224	1491
131	226	1489
132	228	1486
133	229	1482
134	230	1479
135	232	1476
136	233	1472
137	235	1471
138	237	1469
139	238	1465
140	239	1461
141	241	1457
142	242	1454
143	243	1450
144	245	1446
145	246	1443
146	248	1439
147	250	1440
148	251	1438
149	253	1435
150	254	1431
151	255	1428
152	257	1424
153	258	1421
154	260	1417
155	261	1414
156	262	1410
157	264	1410
158	266	1407
159	267	1404
160	268	1401
161	270	1398
162	271	1394
163	272	1391
164	274	1388
165	275	1385
166	277	1382
167	279	1383
168	280	1380
169	282	1377
170	283	1374
171	284	1371
172	286	1367
173	287	1364
174	288	1361
175	290	1358
176	291	1356
177	293	1354
178	294	1351
179	296	1349
180	297	1345
181	298	1342
182	300	1339
183	301	1336
184	302	1333
185	304	1330
186	305	1328
187	307	1327
188	309	1325
189	310	1323
190	311	1320
191	313	1317
192	314	1314
193	315	1311
194	317	1308
195	318	1306
196	320	1304
197	321	1302
198	323	1300
199	324	1298
200	325	1295
201	327	1292
202	328	1289
203	329	1287
204	331	1284
205	333	1283
206	334	1281
207	335	1279
208	338	1279
